"","HouseholdID","PersonalNumber","PID","Month","Year","TimeID","Weight","State","TimeLost","EMP","HRSWorked","Kid1","Kid2","Kid3","Kid4","Kid5","Kid6","KidsUnder5","age1","age_group1","age2","age_group2","age3","age_group3","age4","age_group4","age5","age_group5","age6","age_group6","Education","ParentAge","Race","ChildCareCostper100","Income","NonMetro","Female","SingleFamily","WelfareorSS","WorkFromHome"
"1",3812641811718,101,"3812641811718101",1,2018,"12018",19618.701803,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5534,0,0,1,0,0
"2",3812641811718,101,"3812641811718101",2,2018,"22018",19826.379204,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5534,0,0,1,0,0
"3",3812641811718,101,"3812641811718101",3,2018,"32018",21231.588597,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5534,0,0,1,0,0
"4",3812641811718,101,"3812641811718101",4,2018,"42018",20913.339913,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5534,0,0,1,0,0
"5",3812641811718,101,"3812641811718101",5,2018,"52018",20025.17465,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5534,0,0,1,0,0
"6",3812641811718,101,"3812641811718101",6,2018,"62018",19683.287427,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5534,0,0,1,0,0
"7",3812641811718,101,"3812641811718101",7,2018,"72018",20606.42803,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5534,0,0,1,0,0
"8",3812641811718,101,"3812641811718101",8,2018,"82018",20916.512587,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5534,0,0,1,0,0
"9",3812641811718,101,"3812641811718101",9,2018,"92018",21040.620635,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5534,0,0,1,0,0
"10",3812641811718,101,"3812641811718101",10,2018,"102018",21494.16092,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5563,0,0,1,0,0
"11",3812641811718,101,"3812641811718101",11,2018,"112018",21274.555922,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5568,0,0,1,0,0
"12",3812641811718,101,"3812641811718101",12,2018,"122018",20581.78346,51,0,100,50,1,1,0,0,0,0,"2",5,"Preschool",3,"Toddler",-2,"No Child",-2,"No Child",-1,"No Child",-1,"No Child","High School or Some College",32,"Black",6,5568,0,0,1,0,0
"13",3812641811718,102,"3812641811718102",1,2018,"12018",16126.959169,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5534,0,1,1,0,0
"14",3812641811718,102,"3812641811718102",2,2018,"22018",16239.339382,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5534,0,1,1,0,0
"15",3812641811718,102,"3812641811718102",3,2018,"32018",16184.459518,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5534,0,1,1,0,0
"16",3812641811718,102,"3812641811718102",4,2018,"42018",16396.300972,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5534,0,1,1,0,0
"17",3812641811718,102,"3812641811718102",5,2018,"52018",16994.436399,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5534,0,1,1,0,0
"18",3812641811718,102,"3812641811718102",6,2018,"62018",16773.892458,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5534,0,1,1,0,0
"19",3812641811718,102,"3812641811718102",7,2018,"72018",16388.501449,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5534,0,1,1,0,0
"20",3812641811718,102,"3812641811718102",8,2018,"82018",16394.7899,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5534,0,1,1,0,0
"21",3812641811718,102,"3812641811718102",9,2018,"92018",16701.995928,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5534,0,1,1,0,0
"22",3812641811718,102,"3812641811718102",10,2018,"102018",16761.818066,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5563,0,1,1,0,0
"23",3812641811718,102,"3812641811718102",11,2018,"112018",16690.749824,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5568,0,1,1,0,0
"24",3812641811718,102,"3812641811718102",12,2018,"122018",16852.621285,51,0,100,40,1,0,0,0,0,0,"1",3,"Toddler",-2,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",31,"Residual",0,5568,0,1,1,0,0
"25",3827406887618,101,"3827406887618101",1,2018,"12018",9200.0401791,51,0,0,0,0,0,1,0,0,0,"1",11,"School Age",8,"School Age",3,"Toddler",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",34,"Residual",0,2434,0,1,0,0,0
"26",3827406887618,101,"3827406887618101",2,2018,"22018",9207.8163795,51,0,0,0,0,0,1,0,0,0,"1",11,"School Age",8,"School Age",3,"Toddler",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",34,"Residual",0,2434,0,1,0,0,0
"27",3827406887618,101,"3827406887618101",3,2018,"32018",9392.3093472,51,0,0,0,0,0,1,0,0,0,"1",11,"School Age",8,"School Age",3,"Toddler",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",34,"Residual",0,2434,0,1,0,0,0
"28",3827406887618,101,"3827406887618101",4,2018,"42018",9347.4127259,51,0,0,0,0,0,1,0,0,0,"1",11,"School Age",8,"School Age",3,"Toddler",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",34,"Residual",0,2434,0,1,0,0,0
"29",3827406887618,101,"3827406887618101",5,2018,"52018",9552.2879007,51,0,0,0,0,0,1,0,0,0,"1",11,"School Age",8,"School Age",3,"Toddler",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",34,"Residual",0,2434,0,1,0,0,0
"30",3827406887618,101,"3827406887618101",6,2018,"62018",9569.4075181,51,0,0,0,0,0,1,0,0,0,"1",11,"School Age",8,"School Age",3,"Toddler",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",34,"Residual",0,2434,0,1,0,0,0
"31",3827406887618,101,"3827406887618101",7,2018,"72018",9771.5116943,51,0,0,0,0,0,1,0,0,0,"1",11,"School Age",8,"School Age",3,"Toddler",-1,"No Child",-1,"No Child",-1,"No Child","High School or Some College",34,"Residual",0,2434,0,1,0,0,0
