"","FIPS","Name","Total Population","Total 0-4"
"1","51000","Virginia, Statewide","9129001.8887463007","540608.77673621976"
"2","51001","Accomack County","33179.481569379343","1615.0343116755464"
"3","51003","Albemarle County","124016.46874990521","6721.5020683711627"
"4","51005","Alleghany County","13992.511447891069","631.06100827090359"
"5","51007","Amelia County","13641.61442933308","715.27496233660202"
"6","51009","Amherst County","29827.232243211587","1528.9163734053523"
"7","51011","Appomattox County","17017.519734280031","973.17260373558997"
"8","51013","Arlington County","265793.64923406998","14665.524135030208"
"9","51015","Augusta County","80059.717515039738","3969.3089349221677"
"10","51017","Bath County","3634.1497399531113","136.92773646746107"
"11","51019","Bedford County","82821.55303751021","4091.9880316701174"
"12","51021","Bland County","5634.0656125771593","185.06827150754592"
"13","51023","Botetourt County","33556.005898281459","1563.8814274152426"
"14","51025","Brunswick County","14059.536721098775","517.82475821998662"
"15","51027","Buchanan County","16373.879978329562","635.45567475596863"
"16","51029","Buckingham County","16265.456742258273","769.26876538230715"
"17","51031","Campbell County","55739.399998467175","3050.6680109994827"
"18","51033","Caroline County","32752.688285571454","2121.0390727203744"
"19","51035","Carroll County","27862.800338756319","1305.8080026994955"
"20","51036","Charles City County","6199.8377717127942","220.82532047686658"
"21","51037","Charlotte County","10321.892073986706","535.38215867036172"
"22","51041","Chesterfield County","406941.9749490213","23982.135233374833"
"23","51043","Clarke County","15309.360933265996","733.42974214421224"
"24","51045","Craig County","4528.1486046500122","206.46879321026046"
"25","51047","Culpeper County","57577.666682766758","3622.0094904972225"
"26","51049","Cumberland County","9164.720445371313","502.02131762777719"
"27","51051","Dickenson County","12168.044084546016","550.87771429892723"
"28","51053","Dinwiddie County","27493.175670331475","1485.2740650888859"
"29","51057","Essex County","9902.9841164385434","466.14877671406356"
"30","51059","Fairfax County","1201420.1369218682","75021.454282128718"
"31","51061","Fauquier County","79583.640942108541","4553.3855105000412"
"32","51063","Floyd County","15448.339808593739","764.66088724891677"
"33","51065","Fluvanna County","28394.074195505636","1510.0770944623259"
"34","51067","Franklin County","52038.224985306355","2533.4108304759329"
"35","51069","Frederick County","103034.60123854587","6014.1496613081754"
"36","51071","Giles County","16054.52426481049","808.35134528345407"
"37","51073","Gloucester County","39982.546799961492","1839.7084400483266"
"38","51075","Goochland County","27339.411808266737","1164.5798054856639"
"39","51077","Grayson County","14916.080286061959","584.32248764330814"
"40","51079","Greene County","22375.598927766634","1392.7224598020421"
"41","51081","Greensville County","10387.931681411947","373.4804815731402"
"42","51083","Halifax County","31347.128879774562","1600.7386798916405"
"43","51085","Hanover County","118373.53214528585","5983.1493966448061"
"44","51087","Henrico County","356656.26372493996","21411.456372546108"
"45","51089","Henry County","47060.612783851728","2256.5673048071794"
"46","51091","Highland County","2112.2817718252013","78.373806954104083"
"47","51093","Isle of Wight County","41340.7942482","2101.1262187911411"
"48","51095","James City County","88216.101864948068","4143.112281792367"
"49","51097","King and Queen County","6181.1101218459353","277.04058259167061"
"50","51099","King George County","29433.951596007548","1979.2191680769245"
"51","51101","King William County","19402.830927848387","1142.874495544603"
"52","51103","Lancaster County","10297.25042942505","355.79215828977664"
