"","HouseholdID","PersonalNumber","PID","Month","Year","TimeID","Weight","State","TimeLost","EMP","HRSWorked","Kid1","Kid2","Kid3","Kid4","Kid5","Kid6","KidsUnder5","age1","age_group1","age2","age_group2","age3","age_group3","age4","age_group4","age5","age_group5","age6","age_group6","Education","ParentAge","Race","ChildCare","Income","NonMetro","Female","SingleFamily","WelfareorSS","WorkFromHome"
"1",3827406872420,201,"3827406872420201'",1,2020,"12020",7462.6660571,51,0,100,66,1,0,0,0,0,0,"1",5,"Preschool",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","No High School Diploma",27,"White",0,4518,0,1,1,0,0
"2",3827406872420,201,"3827406872420201'",2,2020,"22020",7396.5715458,51,0,100,66,1,0,0,0,0,0,"1",5,"Preschool",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","No High School Diploma",27,"White",0,4518,0,1,1,0,0
"3",3827406872420,201,"3827406872420201'",3,2020,"32020",7574.9996211,51,0,100,66,1,0,0,0,0,0,"1",5,"Preschool",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","No High School Diploma",27,"White",0,4518,0,1,1,0,0
"4",3827406872420,201,"3827406872420201'",4,2020,"42020",7575.0363083,51,0,100,66,1,0,0,0,0,0,"1",5,"Preschool",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","No High School Diploma",27,"White",0,4518,0,1,1,0,0
"5",3827406872420,201,"3827406872420201'",5,2020,"52020",7474.4789077,51,0,100,66,1,0,0,0,0,0,"1",5,"Preschool",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","No High School Diploma",27,"White",0,4518,0,1,1,0,0
"6",3827406872420,201,"3827406872420201'",6,2020,"62020",7645.4482396,51,0,100,66,1,0,0,0,0,0,"1",5,"Preschool",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","No High School Diploma",27,"White",0,4518,0,1,1,0,0
"7",3827406872420,201,"3827406872420201'",7,2020,"72020",7721.2493099,51,0,100,66,1,0,0,0,0,0,"1",5,"Preschool",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","No High School Diploma",27,"White",0,4518,0,1,1,0,0
"8",3827406872420,201,"3827406872420201'",8,2020,"82020",7682.0055965,51,0,100,66,1,0,0,0,0,0,"1",5,"Preschool",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","No High School Diploma",27,"White",0,4518,0,1,1,0,0
"9",3827406872420,201,"3827406872420201'",9,2020,"92020",7624.0426877,51,0,100,66,1,0,0,0,0,0,"1",5,"Preschool",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","No High School Diploma",27,"White",0,4518,0,1,1,0,0
"10",3827406872420,201,"3827406872420201'",10,2020,"102020",7797.0452178,51,0,100,66,1,0,0,0,0,0,"1",5,"Preschool",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child",-1,"No Child","No High School Diploma",27,"White",0,4518,0,1,1,0,0
